Month,Year,Average of Rainfall
Jan,1901,42.61863996
Jan,1902,0
Jan,1903,16.14415979
Jan,1904,3.252248049
Jan,1905,44.46420395
Jan,1906,0.821884573
Jan,1907,23.81082916
Jan,1908,23.89858872
Jan,1909,15.3090291
Jan,1910,20.4784894
Jan,1911,61.28453562
Jan,1912,34.62774207
Jan,1913,0
Jan,1914,0
Jan,1915,29.32028564
Jan,1916,0
Jan,1917,20.02909076
Jan,1918,10.01638341
Jan,1919,116.6761769
Jan,1920,14.95041943
Jan,1921,38.08499059
Jan,1922,22.83689523
Jan,1923,4.567209274
Jan,1924,67.57681513
Jan,1925,3.809080184
Jan,1926,11.79503877
Jan,1927,0
Jan,1928,30.95060641
Jan,1929,5.631726578
Jan,1930,49.31576467
Jan,1931,0.748759449
Jan,1932,0
Jan,1933,7.897432804
Jan,1934,26.24836436
Jan,1935,38.96785554
Jan,1936,3.052327871
Jan,1937,0
Jan,1938,51.47803685
Jan,1939,0
Jan,1940,39.43505153
Jan,1941,75.61604536
Jan,1942,5.375248313
Jan,1943,9.086543337
Jan,1944,33.64962751
Jan,1945,37.3542968
Jan,1946,0
Jan,1947,3.885825396
Jan,1948,53.57136017
Jan,1949,0.54077065
Jan,1950,12.22365555
Jan,1951,15.72355065
Jan,1952,12.85322084
Jan,1953,51.94756332
Jan,1954,35.73934674
Jan,1955,26.29695344
Jan,1956,27.0892269
Jan,1957,78.69554508
Jan,1958,4.281375408
Jan,1959,38.83451016
Jan,1960,13.90736151
Jan,1961,22.73869336
Jan,1962,20.29650455
Jan,1963,5.323771477
Jan,1964,0.842178464
Jan,1965,11.53443123
Jan,1966,6.155754089
Jan,1967,0
Jan,1968,18.29591928
Jan,1969,1.360583842
Jan,1970,49.59951568
Jan,1971,12.05505598
Jan,1972,8.58247292
Jan,1973,12.31120992
Jan,1974,0
Jan,1975,15.65959334
Jan,1976,0
Jan,1977,16.59130719
Jan,1978,0
Jan,1979,24.32652363
Jan,1980,1.032786608
Jan,1981,44.13900751
Jan,1982,7.858867079
Jan,1983,51.87409186
Jan,1984,1.13182684
Jan,1985,0
Jan,1986,15.32926755
Jan,1987,22.74717218
Jan,1988,0
Jan,1989,34.75573164
Jan,1990,0
Jan,1991,0
Jan,1992,19.71393609
Jan,1993,10.0522677
Jan,1994,23.66090798
Jan,1995,39.08006763
Jan,1996,12.42570847
Jan,1997,1.420301422
Jan,1998,0
Jan,1999,32.98071086
Jan,2000,4.766031489
Jan,2001,5.528851271
Jan,2002,20.46088162
Jan,2003,20.87920475
Jan,2004,25.80900383
Jan,2005,2.192031384
Jan,2006,0
Jan,2007,0
Jan,2008,0.262698203
Jan,2009,1.401108027
Jan,2010,4.300514698
Jan,2011,0
Jan,2012,13.52769993
Jan,2013,24.27368653
Jan,2014,8.169656515
Jan,2015,21.86071467
Jan,2016,0
Jan,2017,12.75702441
Jan,2018,1.913516998
Jan,2019,31.71053863
Jan,2020,28.07296526
Jan,2021,19.43786764
Feb,1901,14.3546079
Feb,1902,0
Feb,1903,0
Feb,1904,0.471933544
Feb,1905,15.78717688
Feb,1906,55.70877448
Feb,1907,49.51529816
Feb,1908,5.80994606
Feb,1909,2.869801402
Feb,1910,2.896202564
Feb,1911,0
Feb,1912,22.55299558
Feb,1913,44.32249546
Feb,1914,2.027671039
Feb,1915,67.65640392
Feb,1916,30.66373178
Feb,1917,12.57523009
Feb,1918,0
Feb,1919,5.65737927
Feb,1920,9.919013441
Feb,1921,0
Feb,1922,14.53978433
Feb,1923,51.08335066
Feb,1924,28.14773738
Feb,1925,0
Feb,1926,1.516259223
Feb,1927,31.89368403
Feb,1928,50.9534267
Feb,1929,0.281217873
Feb,1930,25.9557116
Feb,1931,35.94641057
Feb,1932,0.748759449
Feb,1933,16.24518935
Feb,1934,0.623966157
Feb,1935,27.11944678
Feb,1936,18.42253798
Feb,1937,63.0675282
Feb,1938,0.415977448
Feb,1939,35.41549778
Feb,1940,38.65138556
Feb,1941,15.54180622
Feb,1942,44.52848929
Feb,1943,0
Feb,1944,31.2449379
Feb,1945,0
Feb,1946,20.91119951
Feb,1947,6.216298997
Feb,1948,34.4439234
Feb,1949,40.12980172
Feb,1950,2.244008422
Feb,1951,0
Feb,1952,26.1071685
Feb,1953,0.344388187
Feb,1954,122.9688402
Feb,1955,1.592961192
Feb,1956,0.831954896
Feb,1957,0
Feb,1958,0
Feb,1959,2.192217089
Feb,1960,0
Feb,1961,33.57497191
Feb,1962,4.246637464
Feb,1963,3.890871882
Feb,1964,0.152202338
Feb,1965,7.480682492
Feb,1966,18.42983127
Feb,1967,0.12447878
Feb,1968,8.547796577
Feb,1969,0.937172472
Feb,1970,49.79847598
Feb,1971,15.41048473
Feb,1972,19.21485817
Feb,1973,6.926980734
Feb,1974,0
Feb,1975,5.66528821
Feb,1976,14.43290839
Feb,1977,2.167296886
Feb,1978,24.37153643
Feb,1979,22.31366774
Feb,1980,5.799958244
Feb,1981,12.53450093
Feb,1982,7.800342888
Feb,1983,11.22289915
Feb,1984,1.169939935
Feb,1985,0
Feb,1986,12.94304591
Feb,1987,25.67956558
Feb,1988,17.68295299
Feb,1989,0
Feb,1990,95.83623698
Feb,1991,20.29397443
Feb,1992,8.036326617
Feb,1993,10.84247476
Feb,1994,1.776723385
Feb,1995,21.10136718
Feb,1996,47.14104378
Feb,1997,1.024107426
Feb,1998,13.98266853
Feb,1999,0.190318793
Feb,2000,23.69326925
Feb,2001,4.80372867
Feb,2002,19.53042318
Feb,2003,72.34263709
Feb,2004,0
Feb,2005,27.39178622
Feb,2006,0
Feb,2007,37.54581171
Feb,2008,0
Feb,2009,1.320618749
Feb,2010,16.26856339
Feb,2011,32.38989034
Feb,2012,0
Feb,2013,69.52439082
Feb,2014,45.3252769
Feb,2015,0.28619796
Feb,2016,0
Feb,2017,0
Feb,2018,0
Feb,2019,28.43254164
Feb,2020,0.256811142
Feb,2021,0.781125069
Mar,1901,4.154413104
Mar,1902,1.56520164
Mar,1903,0.887415826
Mar,1904,57.68030024
Mar,1905,14.09863128
Mar,1906,25.36590016
Mar,1907,19.23108789
Mar,1908,0
Mar,1909,0
Mar,1910,0
Mar,1911,40.09250131
Mar,1912,13.55717409
Mar,1913,15.77171713
Mar,1914,12.2093519
Mar,1915,48.67184019
Mar,1916,0
Mar,1917,6.227758765
Mar,1918,9.141166925
Mar,1919,13.92209911
Mar,1920,28.64135087
Mar,1921,0
Mar,1922,0
Mar,1923,0
Mar,1924,2.143833578
Mar,1925,0
Mar,1926,66.0673556
Mar,1927,22.94339186
Mar,1928,5.373240948
Mar,1929,0
Mar,1930,0.175761178
Mar,1931,11.23676515
Mar,1932,18.1272043
Mar,1933,2.08644104
Mar,1934,54.72481248
Mar,1935,4.759019613
Mar,1936,10.31074479
Mar,1937,0.456979036
Mar,1938,0
Mar,1939,5.644869268
Mar,1940,5.02395612
Mar,1941,1.202813104
Mar,1942,0
Mar,1943,1.329123206
Mar,1944,47.42277105
Mar,1945,0
Mar,1946,0
Mar,1947,8.184725359
Mar,1948,21.08230218
Mar,1949,6.846664906
Mar,1950,18.9263168
Mar,1951,55.70403868
Mar,1952,46.67639013
Mar,1953,0
Mar,1954,33.77483368
Mar,1955,10.68425274
Mar,1956,5.667114943
Mar,1957,64.43122542
Mar,1958,7.818994761
Mar,1959,0.481426507
Mar,1960,37.23861384
Mar,1961,0
Mar,1962,7.484930634
Mar,1963,2.871800303
Mar,1964,0
Mar,1965,0.579684734
Mar,1966,0.12447878
Mar,1967,35.03049719
Mar,1968,13.48658812
Mar,1969,12.57935202
Mar,1970,21.78974104
Mar,1971,0
Mar,1972,0
Mar,1973,1.512117684
Mar,1974,0
Mar,1975,12.58359852
Mar,1976,5.859613299
Mar,1977,0.186025098
Mar,1978,22.58136643
Mar,1979,28.60956046
Mar,1980,34.91006234
Mar,1981,9.139730468
Mar,1982,59.19144213
Mar,1983,3.348093003
Mar,1984,0
Mar,1985,0
Mar,1986,8.970968485
Mar,1987,8.124053717
Mar,1988,33.98328888
Mar,1989,30.30665073
Mar,1990,1.045697182
Mar,1991,5.066211775
Mar,1992,0
Mar,1993,1.768965706
Mar,1994,0.282499343
Mar,1995,21.95015995
Mar,1996,0.196458116
Mar,1997,4.9860515
Mar,1998,14.35417676
Mar,1999,0
Mar,2000,0.319244415
Mar,2001,4.622212917
Mar,2002,0.294687182
Mar,2003,3.332164466
Mar,2004,0
Mar,2005,7.801899314
Mar,2006,19.73419368
Mar,2007,35.49968767
Mar,2008,0
Mar,2009,2.43081557
Mar,2010,0
Mar,2011,0.724080324
Mar,2012,5.176049709
Mar,2013,8.615704536
Mar,2014,70.06409408
Mar,2015,99.7250509
Mar,2016,14.03977928
Mar,2017,3.158526421
Mar,2018,0
Mar,2019,8.720610619
Mar,2020,76.71730885
Mar,2021,6.340240598
April,1901,0
April,1902,9.031395674
April,1903,0
April,1904,0
April,1905,8.051871181
April,1906,0.901328862
April,1907,47.81079698
April,1908,0.180265784
April,1909,101.83278
April,1910,1.196985513
April,1911,0
April,1912,7.59143734
April,1913,0
April,1914,32.64658976
April,1915,20.24325991
April,1916,5.739618719
April,1917,40.62109477
April,1918,11.30844593
April,1919,0.320750713
April,1920,0
April,1921,0.889955424
April,1922,0
April,1923,0
April,1924,0
April,1925,0
April,1926,17.34674942
April,1927,8.769806862
April,1928,15.70516866
April,1929,15.02996543
April,1930,2.171017841
April,1931,0.415977448
April,1932,4.518672228
April,1933,20.98985394
April,1934,0
April,1935,15.33319533
April,1936,5.282913685
April,1937,26.45791692
April,1938,2.952787638
April,1939,0
April,1940,0.554772004
April,1941,0
April,1942,2.997094035
April,1943,9.697295353
April,1944,48.11921096
April,1945,3.998147726
April,1946,3.715364903
April,1947,0
April,1948,1.160023808
April,1949,0.123019516
April,1950,0
