Year,Month,AQI
2017,January,305.06666666666666
2017,February,259.7142857142857
2017,March,190.55172413793105
2017,April,212.58620689655172
2017,May,236.5483870967742
2017,June,152.83333333333334
2017,July,83.75
2017,August,97.75
2017,September,135.8
2017,October,279.3448275862069
2017,November,368.3666666666667
2017,December,319.0967741935484
2018,January,328.83870967741933
2018,February,262.7857142857143
2018,March,214.0
2018,April,223.33333333333334
2018,May,218.41935483870967
2018,June,203.06666666666666
2018,July,104.0
2018,August,111.38709677419355
2018,September,111.63333333333334
2018,October,268.93548387096774
2018,November,335.03333333333336
2018,December,360.51612903225805
2019,January,327.7096774193548
2019,February,242.39285714285714
2019,March,184.16129032258064
2019,April,210.73333333333332
2019,May,220.61290322580646
2019,June,190.06666666666666
2019,July,134.0
2019,August,86.19354838709677
2019,September,98.06666666666666
2019,October,233.83870967741936
2019,November,312.23333333333335
2019,December,337.2903225806452
2020,January,285.6774193548387
2020,February,245.0
2020,March,128.2258064516129
2020,April,109.7
2020,May,143.74193548387098
2020,June,123.26666666666667
2020,July,83.80645161290323
2020,August,63.87096774193548
2020,September,118.7
2020,October,265.4193548387097
2020,November,327.93333333333334
2020,December,331.8709677419355
2021,January,282.6666666666667
2021,February,255.8125
2021,March,201.68571428571428
2021,April,181.85294117647058
2021,May,131.62857142857143
2021,June,129.97142857142856
2021,July,101.22857142857143
2021,August,101.17647058823529
2021,September,75.24242424242425
2021,October,152.75
2021,November,336.02941176470586
2021,December,301.3142857142857
2022,January,236.9189189189189
2022,February,194.63636363636363
2022,March,201.88235294117646
2022,April,236.12121212121212
2022,May,191.65714285714284
2022,June,166.6
2022,July,83.52941176470588
2022,August,88.97058823529412
2022,September,95.97058823529412
2022,October,179.64864864864865
2022,November,286.70588235294116
2022,December,278.52777777777777
2023,January,271.80555555555554
2023,February,211.6875
2023,March,154.11428571428573
2023,April,167.24242424242425
2023,May,150.88888888888889
2023,June,118.32352941176471
2023,July,80.20588235294117
2023,August,110.05882352941177
2023,September,98.88235294117646
2023,October,191.16666666666666
2023,November,332.5882352941176
2023,December,311.9428571428571
2024,January,318.0285714285714
2024,February,195.12121212121212
2024,March,164.23529411764707
2024,April,170.66666666666666
2024,May,202.17142857142858
2024,June,157.25714285714287
2024,July,91.44117647058823
2024,August,69.6470588235294
2024,September,96.55882352941177
2024,October,211.0
2024,November,344.1515151515151
2024,December,256.6666666666667
2025,January,274.48571428571427
2025,February,191.5
2025,March,154.28571428571428
2025,April,100.0
